code,course,university,stream,colombo,gampaha,kaluthara,matale,kandy,nuwara_eliya,galle,matara,hambantota,jaffna,kilinochchi,mannar,mallaitivu,vavuniya,trincomalee,batticaloa,ampara,puttalam,kurunegala,anuradhapura,polonnaruwa,badulla,monaragala,kegalle,ratnapura,course_code,uni_code,subjects,medium,degree,duration
099L,SOFTWARE ENGINEERING,sabaragamuwa_university_of_sri_lanka,none,1.454,1.4139,NQC,1.097,1.3366,0.7372,1.4509,1.5158,1.449,NQC,1.2771,0.6446,0.7086,1.0438,1.1048,1.2406,1.2965,1.0245,1.4424,1.1801,0.7902,1.421,1.075,1.5052,1.3819,99,L,combined_mathematics|physics|chemistry|higher_mathematics|ict,english,Bachelor of Science Honours in Software Engineering,4
032A,AYURVEDIC MEDICINE & SURGERY,university_of_colombo,biological_science,1.173,1.206,1.1882,1.2039,1.1972,1.3019,1.1761,1.1914,1.1735,1.1958,1.2092,1.1933,NQC,1.4037,1.2548,1.277,1.1759,1.1845,1.1812,1.1943,NQC,1.173,1.198,1.207,1.1731,32,A,biology|chemistry|physics,english,Bachelor of Ayurvedic Medicine and Surgery,5
032P,AYURVEDIC MEDICINE & SURGERY,the_gampaha_wickramarachchi_university_of_indigenous_medicine_sri_lanka,biological_science,0.9915,0.8918,1.075,0.9906,0.9668,0.8347,1.3345,1.1437,1.1695,0.9073,1.0619,NQC,1.1342,0.724,1.0389,1.0471,1.128,1.0472,1.076,0.9739,0.8651,1.0161,1.0089,1.0286,1.0611,32,P,biology|chemistry|physics,english,Bachelor of Ayurvedic Medicine and Surgery,5
033A,UNANI MEDICINE & SURGERY,university_of_colombo,biological_science,0.9558,0.8476,1.0667,0.9511,0.9099,0.879,1.0044,1.0383,0.9411,0.8929,0.7347,0.9763,0.4243,0.895,1.1213,1.1163,1.2211,1.2256,1.0962,1.0454,0.9426,0.8809,0.8989,1.0291,0.741,33,A,biology|chemistry|physics,english,Bachelor of Unani Medicine and Surgery,5
036E,SIDDHA MEDICINE & SURGERY,university_of_jaffna,biological_science,0.3809,0.0957,1.0475,0.5425,0.6488,0.5273,NQC,0.7671,NQC,0.7849,0.9657,0.9,0.665,0.7967,0.7673,0.8154,0.7219,0.36,0.6934,0.5558,0.4007,NQC,0.5462,0.7173,0.4637,36,E,biology|chemistry|physics,tamil|english,Bachelor of Siddha Medicine and Surgery,6
036W,SIDDHA MEDICINE & SURGERY,eastern_university_trincomalee_campus,biological_science,0.6003,NQC,0.6839,0.6598,0.6881,0.6549,0.65,0.5983,0.6841,0.8028,0.8186,0.7419,NQC,0.84,0.8958,0.8039,0.8361,NQC,0.6928,0.6036,0.8502,0.6606,0.6055,0.7238,0.6005,36,W,biology|chemistry|physics,tamil|english,Bachelor of Siddha Medicine and Surgery,6
120P,INDIGENOUS MEDICINAL RESOURCES,the_gampaha_wickramarachchi_university_of_indigenous_medicine_sri_lanka,biological_science,0.6696,0.5752,0.7364,0.6372,0.7095,0.4477,0.7334,0.7166,0.7109,0.6805,0.463,0.666,0.335,0.7177,0.6996,0.7693,0.7045,0.5115,0.7136,0.5797,0.4881,0.6993,0.7036,0.7163,0.6826,120,P,chemistry|physics|biology|agricultural_science,english,Bachelor of Science Honours in Indigenous Medicinal Resources,4
121P,HEALTH INFORMATION AND COMMUNICATION TECHNOLOGY,the_gampaha_wickramarachchi_university_of_indigenous_medicine_sri_lanka,biological_science,1.0387,0.9351,1.068,1.1206,1.0034,0.8957,1.093,1.1216,1.1062,0.9984,0.4786,0.5208,0.7043,0.4083,0.7792,0.8097,1.0144,0.9074,1.0391,1.0712,1.0286,1.0134,1.0332,1.0886,1.0929,121,P,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology,english,Bachelor of Health Science Honours in Health Information and Communication Technology,4
122P,HEALTH TOURISM AND HOSPITALITY MANAGEMENT,the_gampaha_wickramarachchi_university_of_indigenous_medicine_sri_lanka,biological_science,1.2162,1.2162,1.2234,1.1801,1.1618,1.0042,1.2593,1.276,1.2617,0.9274,0.6748,0.766,0.9707,0.8475,0.9367,0.9464,0.8411,1.025,1.2121,1.0772,0.9458,1.0707,1.2281,1.2137,1.209,122,P,economics|geography|history|home_economics|agricultural_science|mathematics|combined_mathematics|communication_and_media_studies|ict|accounting|business_statistics|political_science|logic_and_scientific_method|civil_technology|electrical_electronic_and_information_technology|agro_technology|mechanical_technology|food_technology|bio_resource_technology|buddhism|hinduism|christianity|islam|buddhist_civilization|hindu_civilization|christian_civilization|islamic_civilization|greek_and_roman_civilization|art|dancing|music|drama_and_theatre|sinhala|tamil|english|arabic|pali|sanskrit|chinese|french|german|hindi|japanese|malay|russian|korean|biology|chemistry|physics|higher_mathematics|business_studies|engineering_technology|science_for_technology|biosystems_technology,english,Bachelor of Science Honours in Health Tourism and Hospitality Management,4
123P,BIOMEDICAL TECHNOLOGY,the_gampaha_wickramarachchi_university_of_indigenous_medicine_sri_lanka,biological_science,1.0727,1.0463,1.0897,1.1565,1.0129,1.0643,1.1872,1.2166,1.1054,1.1842,0.6646,0.8305,1.0781,0.8526,1.2044,1.0666,1.215,1.0002,1.0501,1.0508,0.8187,1.0584,0.9755,1.1251,1.1239,123,P,engineering_technology|biosystems_technology|science_for_technology|economics|geography|home_economics|english|communication_and_media_studies|ict|art|business_studies|agricultural_science|accounting|mathematics,english,Bachelor of Health Science Honours in Biomedical Technology,4
